LOCATION,MEASURE,TIME,Value
AUS,MLN_USD,2015,658188.6034
AUT,MLN_USD,2015,217653.4063
BEL,MLN_USD,2015,255659.6354
CAN,MLN_USD,2015,896977.0966
CZE,MLN_USD,2015,163205.4061
DNK,MLN_USD,2015,126823.0316
FIN,MLN_USD,2015,121446.2354
FRA,MLN_USD,2015,1403614.3297
DEU,MLN_USD,2015,2025194.7713
GRC,MLN_USD,2015,193573.1991
HUN,MLN_USD,2015,123184.6912
ISL,MLN_USD,2015,7750.9996
IRL,MLN_USD,2015,104896.5726
ITA,MLN_USD,2015,1343001.8871
JPN,MLN_USD,2015,2858279.4738
KOR,MLN_USD,2015,843197.7037
LUX,MLN_USD,2015,16924.2754
MEX,MLN_USD,2015,1397196.1327
NLD,MLN_USD,2015,374867.3299
NZL,MLN_USD,2015,98121.1706
NOR,MLN_USD,2015,131626.6558
POL,MLN_USD,2015,582920.2456
PRT,MLN_USD,2015,194040.4139
SVK,MLN_USD,2015,86245.6174
ESP,MLN_USD,2015,920139.5912
SWE,MLN_USD,2015,204506.4823
CHE,MLN_USD,2015,272084.3728
TUR,MLN_USD,2015,1173948.4546
GBR,MLN_USD,2015,1690313.7486
USA,MLN_USD,2015,11927466
CHN,MLN_USD,2015,7647509.0513
COL,MLN_USD,2015,457024.4046
EST,MLN_USD,2015,18996.8247
IDN,MLN_USD,2015,1604083.5143
ISR,MLN_USD,2015,160786.6547
RUS,MLN_USD,2015,1878151.8028
SVN,MLN_USD,2015,34171.3078
ZAF,MLN_USD,2015,434411.0314
EU28,MLN_USD,2015,10676820.825
OECDE,MLN_USD,2015,11867690.5311
LVA,MLN_USD,2015,28685.4382
BRA,MLN_USD,2015,2008772.3645
LTU,MLN_USD,2015,52215.6076
ARG,MLN_USD,2015,591951.0939
EA19,MLN_USD,2015,7370413.8083
CRI,MLN_USD,2015,48779.4833
BGR,MLN_USD,2015,80496.4417
HRV,MLN_USD,2015,54174.6536
CYP,MLN_USD,2015,18292.5731
MLT,MLN_USD,2015,7539.5316
ROU,MLN_USD,2015,259423.3035
MKD,MLN_USD,2015,19497.3638
ZMB,MLN_USD,2015,29721.2534
