country,value
Aruba,
Afghanistan,
Angola,3542.93561219706
Albania,3657.16083761311
Andorra,
Arab World,2813.84072025892
United Arab Emirates,12365.5233754105
Argentina,7157.36065114922
Armenia,2940.51888732002
American Samoa,
Antigua and Barbuda,
Australia,31410.6428212195
Austria,25139.769154053
Azerbaijan,
Burundi,
Belgium,23487.1234124546
Benin,566.453399245082
Burkina Faso,398.783922640361
Bangladesh,736.463981858083
Bulgaria,5447.38853008597
Bahrain,
"Bahamas, The",17463.8236889633
Bosnia and Herzegovina,4461.60101633343
Belarus,4328.01240045425
Belize,3248.99356535957
Bermuda,
Bolivia,1550.67280822197
Brazil,6819.31203029329
Barbados,
Brunei Darussalam,5945.49371030136
Bhutan,1649.39374991568
Botswana,
Central African Republic,346.997908084648
Canada,29666.5398055333
Central Europe and the Baltics,8885.53329300951
Switzerland,41601.9821227569
Channel Islands,
Chile,9302.23587607949
China,
Cote d'Ivoire,1090.60372619273
Cameroon,1051.18955759113
"Congo, Dem. Rep.",274.806886448204
"Congo, Rep.",822.094518396425
Colombia,4667.82624909438
Comoros,
Cabo Verde,2432.57759587807
Costa Rica,6673.11094104388
Caribbean small states,
Cuba,
Curacao,
Cayman Islands,
Cyprus,19877.5375611708
Czech Republic,10857.4713897063
Germany,25530.4767569044
Djibouti,
Dominica,
Denmark,28518.0475822661
Dominican Republic,4813.14690567979
Algeria,
East Asia & Pacific (excluding high income),
Early-demographic dividend,2109.73122662303
East Asia & Pacific,
Europe & Central Asia (excluding high income),5227.84188416348
Europe & Central Asia,14178.2245683968
Ecuador,3087.95482751029
"Egypt, Arab Rep.",2279.89854116769
Euro area,21722.9061109986
Eritrea,
Spain,17718.7023447806
Estonia,9992.13263356803
Ethiopia,
European Union,20310.1190171062
Fragile and conflict affected situations,
Finland,26075.3808086215
Fiji,
France,23191.3312487383
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,3027.52006151024
United Kingdom,27268.3893006872
Georgia,
Ghana,1296.06185016078
Gibraltar,
Guinea,261.363594401271
"Gambia, The",489.098571476994
Guinea-Bissau,588.853053914331
Equatorial Guinea,4476.30254739979
Greece,15647.8741883922
Grenada,
Greenland,
Guatemala,2771.16855731009
Guam,
Guyana,
High income,
"Hong Kong SAR, China",26116.5153541188
Honduras,1740.92154178574
Heavily indebted poor countries (HIPC),572.435804596493
Croatia,8697.40675993887
Haiti,662.021166100681
Hungary,8071.2061018937
IBRD only,2759.46069647702
IDA & IBRD total,2263.4846517145
IDA total,
IDA blend,
Indonesia,2288.59724997231
IDA only,643.652109654853
Isle of Man,
India,1097.34808287459
Not classified,
Ireland,23835.1100042295
"Iran, Islamic Rep.",
Iraq,
Iceland,26451.2896465252
Israel,
Italy,21064.9169190032
Jamaica,
Jordan,2608.84681284525
Japan,
Kazakhstan,
Kenya,927.870129129539
Kyrgyz Republic,899.812479132658
Cambodia,861.986424785954
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",12509.3877430385
Kuwait,
Latin America & Caribbean (excluding high income),5632.20020615178
Lao PDR,1170.56261133371
Lebanon,6759.80577561983
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,5964.05107723795
Least developed countries: UN classification,635.823812680226
Low income,
Liechtenstein,
Sri Lanka,2378.82040276835
Lower middle income,1357.55119159313
Low & middle income,
Lesotho,
Late-demographic dividend,
Lithuania,11142.3817454954
Luxembourg,33831.1684463009
Latvia,9823.2769517719
"Macao SAR, China",14666.5283560075
St. Martin (French part),
Morocco,1954.72465899426
Monaco,
Moldova,1931.32385228182
Madagascar,
Maldives,
Middle East & North Africa,
Mexico,6490.6362672375
Marshall Islands,
Middle income,2376.69499135786
"Macedonia, FYR",3765.99795043235
Mali,574.837222414985
Malta,
Myanmar,
Middle East & North Africa (excluding high income),
Montenegro,6161.01093785056
Mongolia,2128.18234004504
Northern Mariana Islands,
Mozambique,375.763486390136
Mauritania,699.181892860652
Mauritius,
Malawi,
Malaysia,6192.43621846551
North America,
Namibia,4524.0305141036
New Caledonia,
Niger,276.98983547449
Nigeria,
Nicaragua,1506.73026683067
Netherlands,22665.3982432836
Norway,40424.8775324296
Nepal,558.93894379836
Nauru,
New Zealand,
OECD members,
Oman,
Other small states,
Pakistan,1023.96646046226
Panama,
Peru,3943.64553956744
Philippines,2055.42419072739
Palau,
Papua New Guinea,
Poland,9294.67684903909
Pre-demographic dividend,
Puerto Rico,
"Korea, Dem. People’s Rep.",
Portugal,14969.1386370469
Paraguay,2619.38297131081
West Bank and Gaza,2270.66220922585
Pacific island small states,
Post-demographic dividend,
French Polynesia,
Qatar,
Romania,7326.12713449416
Russian Federation,5874.66233646724
Rwanda,602.677865431349
South Asia,1052.31626463777
Saudi Arabia,7163.610646799
Sudan,1143.88430936317
Senegal,830.273079452381
Singapore,19140.6592365352
Solomon Islands,
Sierra Leone,
El Salvador,2873.51904776858
San Marino,
Somalia,
Serbia,4397.38979687451
Sub-Saharan Africa (excluding high income),
South Sudan,
Sub-Saharan Africa,
Small states,
