country,value
Aruba,
Afghanistan,509.457088032314
Angola,3582.46688381636
Albania,3552.28687450637
Andorra,
Arab World,2795.59930428422
United Arab Emirates,12706.2375905097
Argentina,6978.4596042236
Armenia,2707.88891119224
American Samoa,6964.66386907486
Antigua and Barbuda,
Australia,31246.0923682453
Austria,24998.3966282566
Azerbaijan,
Burundi,158.469807945966
Belgium,23264.5013076107
Benin,561.009028260447
Burkina Faso,404.74437306575
Bangladesh,692.783105274167
Bulgaria,5158.33372379829
Bahrain,
"Bahamas, The",16366.0638759944
Bosnia and Herzegovina,4314.26850927197
Belarus,4143.63765977178
Belize,3300.18756132621
Bermuda,
Bolivia,1502.89141187184
Brazil,6807.41834179732
Barbados,
Brunei Darussalam,5787.11232699427
Bhutan,1515.84084848599
Botswana,3505.80674565947
Central African Republic,351.865971368932
Canada,29051.3053334851
Central Europe and the Baltics,8421.84937199348
Switzerland,41578.8824427532
Channel Islands,
Chile,9154.09292126413
China,
Cote d'Ivoire,1059.86771527548
Cameroon,1029.34167393165
"Congo, Dem. Rep.",277.43441077507
"Congo, Rep.",869.07486011837
Colombia,4626.81376774697
Comoros,
Cabo Verde,2257.14461876875
Costa Rica,6567.17072949247
Caribbean small states,
Cuba,
Curacao,
Cayman Islands,
Cyprus,19215.9308035402
Czech Republic,10465.2389488355
Germany,25193.5717307625
Djibouti,
Dominica,
Denmark,28297.4034604377
Dominican Republic,4664.71630254943
Algeria,1783.80274399517
East Asia & Pacific (excluding high income),
Early-demographic dividend,2042.82634656237
East Asia & Pacific,4029.08059960951
Europe & Central Asia (excluding high income),5005.22850212898
Europe & Central Asia,13919.2195213049
Ecuador,2985.83500423426
"Egypt, Arab Rep.",2230.86105397942
Euro area,21429.3741875639
Eritrea,
Spain,17339.0988745528
Estonia,9777.54334169165
Ethiopia,
European Union,19976.1616902495
Fragile and conflict affected situations,931.213823902615
Finland,25737.2456552119
Fiji,
France,23027.3763575385
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,3076.56107636884
United Kingdom,26999.5921834835
Georgia,
Ghana,1405.42964561681
Gibraltar,
Guinea,600.352664984487
"Gambia, The",465.789631536337
Guinea-Bissau,548.723889836245
Equatorial Guinea,4453.38264089778
Greece,15607.6464579835
Grenada,
Greenland,19866.4106684855
Guatemala,2729.12309120011
Guam,18741.1588564735
Guyana,
High income,24292.0459460011
"Hong Kong SAR, China",24930.5874022675
Honduras,1689.90274068483
Heavily indebted poor countries (HIPC),581.62731326568
Croatia,8296.44028214789
Haiti,671.135984731112
Hungary,7680.22805519887
IBRD only,2678.36850976769
IDA & IBRD total,2203.65298100632
IDA total,808.604345345596
IDA blend,1139.79178787234
Indonesia,2203.94109077903
IDA only,640.543083325203
Isle of Man,
India,1046.40162739289
Not classified,
Ireland,23674.2501349318
"Iran, Islamic Rep.",2667.12363870738
Iraq,
Iceland,24960.8879357964
Israel,19809.4367802156
Italy,20753.4451951582
Jamaica,3765.00424526123
Jordan,2536.31691355739
Japan,26745.110324805
Kazakhstan,5376.73961831742
Kenya,889.864815814745
Kyrgyz Republic,887.429463995074
Cambodia,837.055358847266
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",12243.8144730756
Kuwait,11053.4870903915
Latin America & Caribbean (excluding high income),5583.09333225157
Lao PDR,1118.56310317505
Lebanon,6434.70792669253
Liberia,450.249151083061
Libya,
St. Lucia,
Latin America & Caribbean,5898.20911353482
Least developed countries: UN classification,630.788733717272
Low income,501.618262246212
Liechtenstein,
Sri Lanka,2376.09215217326
Lower middle income,1305.02570307956
Low & middle income,2094.32961154519
Lesotho,1197.01210401917
Late-demographic dividend,
Lithuania,10573.5939992857
Luxembourg,33930.4013226246
Latvia,9261.30804569484
"Macao SAR, China",14681.7298211375
St. Martin (French part),
Morocco,1892.01237865171
Monaco,
Moldova,1839.96707230544
Madagascar,324.745806734728
Maldives,
Middle East & North Africa,3379.60138459224
Mexico,6381.97247802898
Marshall Islands,
Middle income,2307.88279247993
"Macedonia, FYR",3664.45662120614
Mali,540.64567585313
Malta,13009.8002354784
Myanmar,
Middle East & North Africa (excluding high income),2276.50428159058
Montenegro,5913.60101780838
Mongolia,2072.1953215965
Northern Mariana Islands,9190.91492124587
Mozambique,371.830452909002
Mauritania,653.525065885023
Mauritius,6811.64404931734
Malawi,
Malaysia,5869.82732124766
North America,35638.7936917717
Namibia,5003.95439817065
New Caledonia,
Niger,275.284633076554
Nigeria,1482.36303634944
Nicaragua,1468.21410238028
Netherlands,22372.6215708488
Norway,39785.2375979563
Nepal,551.909223762307
Nauru,
New Zealand,22434.1328943893
OECD members,23271.8215566683
Oman,
Other small states,5009.1088528735
Pakistan,960.290915376132
Panama,5694.30223186625
Peru,3894.12012886673
Philippines,1973.11360109241
Palau,7656.37588392519
Papua New Guinea,
Poland,8875.170933975
Pre-demographic dividend,935.533286989225
Puerto Rico,16378.2885875726
"Korea, Dem. People’s Rep.",
Portugal,14594.45841706
Paraguay,2526.54675718775
West Bank and Gaza,2539.58093180725
Pacific island small states,
Post-demographic dividend,25636.8003397694
French Polynesia,
Qatar,
Romania,6612.98335818629
Russian Federation,5691.62376772091
Rwanda,607.076803392736
South Asia,1002.64963355665
Saudi Arabia,7169.81381888685
Sudan,1137.35080468982
Senegal,814.663652498204
Singapore,18577.3115947627
Solomon Islands,
Sierra Leone,461.61465504957
El Salvador,2868.17450628106
San Marino,
Somalia,
Serbia,4296.72842761409
Sub-Saharan Africa (excluding high income),1075.1909079064
South Sudan,
Sub-Saharan Africa,1075.6801633546
Small states,4917.9854709334
